execucao,custo,competitividade,energia,chegou,vivo,caminho
37,12,,-250,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
38,12,,-250,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
39,12,,-335,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
40,12,,-80,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
41,12,,-295,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
42,12,,-170,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
43,12,,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
44,12,,-155,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
45,12,,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
46,12,,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
47,12,,-175,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
48,12,,-295,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
49,12,,-105,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
50,12,,-245,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
51,12,,-10,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
52,12,,70,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
53,12,,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
54,12,,-105,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
55,12,,-80,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
56,12,,-80,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
57,12,,-95,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
58,12,,-150,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
59,12,,-245,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
60,12,,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
61,12,,-295,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
62,12,,-60,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
63,12,,-120,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
64,12,,-385,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
65,12,,-175,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
66,12,,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
67,12,,-145,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
68,12,,-385,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
69,12,,-245,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
70,12,,-300,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
71,12,,-210,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
72,12,,-220,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
73,12,,15,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
74,12,,-100,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
75,12,,-55,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
76,12,,-150,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
77,12,,-125,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
78,12,,-320,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
79,12,,-60,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
80,12,,-130,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
81,12,,-120,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
82,12,,-250,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
83,12,,-225,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
84,12,,0,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
85,12,,-225,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
86,12,,-250,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
87,12,,-170,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
88,12,,25,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
